id,created_at,text,retweet_count
1121183782646759425,2019-04-24 22:46:59,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/pLUhtsolOM,0
1121177361536495619,2019-04-24 22:21:28,my sisters dog knows how to ride in style... #electricscooter https://t.co/vBWzAFu40y,0
1121171909318545408,2019-04-24 21:59:48,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/4RoPwKsFB5,0
1121167166047281152,2019-04-24 21:40:57,Yesterday we went to Costco &amp; I grabbed an electric scooter to use. At one point Cory went off to grab …… https://t.co/UKBHpUr1xD,0
1121155824397631488,2019-04-24 20:55:53,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/SHyCNGYvTr,0
1121155599528419328,2019-04-24 20:54:59,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/GgRXuhRfTM,0
1121140318328508416,2019-04-24 19:54:16,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/7wRGHVzrqk,0
1121131357248167936,2019-04-24 19:18:39,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/DbqkHdeGpJ,0
1121130422551838722,2019-04-24 19:14:56,"#ElectricScooter #Accidents
#Tulsa
#Wrongway
#Sundown
https://t.co/HYEfihtBx2
https://t.co/HgaB9x6lZD",0
1121115415499796480,2019-04-24 18:15:19,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/VHthEV7hZ5,0
1121099148328091648,2019-04-24 17:10:40,"The #ElectricScooter boom took over Santa Monica &amp; Venice, catching the cities unaware. LA County is making some mo… https://t.co/qAOzFoYB1q",1
1121095610667393024,2019-04-24 16:56:37,"20inch green power electric bike fat tyre, factory offer. 
750W MOTOR 
45KMPH 
STRONG BIKE 
#england #electricbike… https://t.co/tMwqSmBX3p",0
1121095012563861504,2019-04-24 16:54:14,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/QBG8OcrFgf,0
1121088210967384065,2019-04-24 16:27:12,"RT @StaceyConnolly_: First time I've seen an e-scooter pulled over. 

#MicroMobility
#ElectricScooter https://t.co/ojceppCn8u",1
1121083917879132161,2019-04-24 16:10:09,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/T0O4HEMM7v,0
1121071241216036864,2019-04-24 15:19:47,Zinc Volt Sport Push &amp; Go Electric Easy Grip Scooter- Blue/White. £37.99 #electricscooter #gowhite #easygo https://t.co/cSrgX6lsxp,0
1121068169941192706,2019-04-24 15:07:34,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/WXsoKNGUau,0
1121059313622114304,2019-04-24 14:32:23,"RT @EmotoMobike: Electric Scooter at Best Price in Perinthalmanna!
E-moto Mobikes Okinawa E Scooters provide Okinawa brand electric scooter…",1
1121055507366776832,2019-04-24 14:17:15,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/HcENZD7JZZ,0
1121046011110207488,2019-04-24 13:39:31,RT @CCleevely: Bringing #topicstolife at ⁦@HighnamAcademy⁩ a display of #ElectricVehicles including ⁦@ZeroMC⁩ ⁦@Tesla⁩ ⁦@Hyundai_UK⁩ @Nissa…,1
1121045727591960581,2019-04-24 13:38:24,Bringing #topicstolife at ⁦@HighnamAcademy⁩ a display of #ElectricVehicles including ⁦@ZeroMC⁩ ⁦@Tesla⁩ ⁦… https://t.co/nPP6V35c23,1
1121039588359692288,2019-04-24 13:14:00,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/1UffrhzX2B,0
1121039058434711553,2019-04-24 13:11:54,#PLEV- Zeit für die neue Fahrzeugklasse ab Juni 2019 #myegret #escooter #plev #goelectric #emobility #liberty… https://t.co/mAyp7Q07ac,1
1121038929413771267,2019-04-24 13:11:23,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/FEPc11GotG,0
1121037377600917504,2019-04-24 13:05:13,"We've gone electric !! .. 

All of our company vans now run emmission free :)

#electricvehicle #ev #electriccar… https://t.co/FolleNM6Hz",0
1121032365944573954,2019-04-24 12:45:18,#ElectricScooter #BlackFriday #CyberMonday - #ElectricScooters #Featured #SXTScooters SXT Light Plus/Facelift -… https://t.co/SRcAF2ETg1,0
1121025955034804224,2019-04-24 12:19:49,"RT @EMFY_shop: ⚡🛴Test de la trottinette électrique 10X de la marque #ZERO 🔋🤙
➡️https://t.co/rep9LV109C
#powerzero #zeroscooters #zero10x #e…",1
1121007375366836225,2019-04-24 11:06:00,No pasarás inadvertido con el nuevo smargGyro Xtreme Baggio #patinete eléctrico con estética #retro #subeasmartgyro… https://t.co/WPCw7J1YYk,0
1121005636991500288,2019-04-24 10:59:05,Enter to win the Swagger 2 Classic Electric Scooter! @SwagTronUSA #electricscooter #scooter #winit #giveaway https://t.co/9Re3edquAL,0
1120993863173382144,2019-04-24 10:12:18,"Ather Energy To Make Entry Into Chennai In June. More info: https://t.co/zJmjJWMoSn

@atherenergy #Ather340… https://t.co/8h0Hy6ZRf6",0
1120985380419928064,2019-04-24 09:38:36,"RT @GreavesCottonIN: Zero Emission or Max Pollution? Your choice will decide the quality of air for your future generation. 

Choose right,…",2
1120980957073485824,2019-04-24 09:21:01,"First time I've seen an e-scooter pulled over. 

#MicroMobility
#ElectricScooter https://t.co/ojceppCn8u",1
1120941116487024641,2019-04-24 06:42:42,No pasarás inadvertido con el nuevo smargGyro Xtreme Baggio #patinete eléctrico con estética #retro #subeasmartgyro… https://t.co/HCtRag5Aba,0
1120896389691502593,2019-04-24 03:44:59,"Electric scooter 🛴,it’s very cool 😎,riding in the street.
DM me for it☎️☎️ #electricscooter #scooter https://t.co/jrPPtChwPH",0
1120876882042343424,2019-04-24 02:27:28,"Jemima Robinson
@JemimaRobinson_ 
#ridewithmearth #electricscooter https://t.co/Jqxo8PD9sA",0
1120870120795066373,2019-04-24 02:00:36,"Day light saving is over 😢... lucky the Zero 10 has wicked lights! Enquire at Freed, Victoria Park Market.

#freed… https://t.co/yn7ACmvR9L",0
